               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,            0.032886,            0.011715,                   0,             0.91648,              0.7838,              0.8625,             0.34561,              0.0437,            0.011727,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.032985,            0.011752,                   0,             0.83036,               0.875,             0.88046,             0.35729,            0.044087,            0.011666,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.032956,            0.011296,                   0,             0.90071,             0.80995,             0.88519,             0.34617,            0.045846,            0.011574,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.034283,            0.011922,                   0,             0.86018,             0.87889,             0.89312,             0.36162,            0.043544,            0.011423,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.034479,            0.011539,                   0,               0.856,             0.84919,             0.86151,             0.31914,            0.046558,            0.011651,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.032092,            0.011609,                   0,             0.81177,             0.80863,             0.83166,             0.31265,            0.046234,            0.011608,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.032033,            0.011381,                   0,             0.84156,             0.85368,             0.87311,             0.34813,            0.043735,            0.011622,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.030857,            0.011647,                   0,             0.85435,             0.86607,             0.88355,             0.35858,            0.042723,            0.011415,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.030915,            0.011492,                   0,             0.85519,             0.84821,             0.86189,             0.34946,            0.042851,            0.011374,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.030053,             0.01112,                   0,             0.87138,             0.86607,             0.86345,             0.35834,              0.0425,            0.011339,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.031904,            0.011437,                   0,             0.90831,             0.79464,             0.85468,             0.36028,            0.041658,            0.011341,                   0,             0.00208,             0.00208,             0.00208
                  82,             0.03016,            0.011805,                   0,             0.92097,             0.83239,             0.88474,             0.35675,            0.041937,            0.011337,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.029994,            0.011392,                   0,             0.90178,              0.8198,             0.86593,             0.36347,            0.041961,            0.011351,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.029538,            0.011396,                   0,             0.90646,             0.82143,             0.86436,             0.36531,            0.043313,            0.011298,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.029161,            0.010547,                   0,             0.90924,             0.83929,             0.88357,               0.358,            0.043173,            0.011271,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.028622,            0.010244,                   0,             0.90468,             0.84821,             0.87664,             0.37387,            0.041461,            0.011357,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.029784,            0.011559,                   0,             0.89395,             0.82791,             0.86997,             0.36214,            0.043114,            0.011337,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.029533,            0.011295,                   0,               0.864,             0.85082,             0.86926,             0.35849,            0.042928,            0.011331,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.028212,            0.011243,                   0,             0.89636,             0.84948,             0.88855,             0.36315,            0.042774,            0.011438,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.028597,            0.011464,                   0,             0.88248,             0.87161,              0.8852,             0.36491,            0.042691,            0.011434,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.027413,             0.01067,                   0,             0.91174,             0.83008,             0.86065,              0.3631,            0.043586,            0.011244,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.028512,            0.010923,                   0,             0.90506,             0.85117,             0.86841,             0.37116,            0.043345,            0.011194,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.028877,            0.010814,                   0,             0.89132,             0.84821,             0.86074,             0.36603,             0.04353,            0.011219,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.027384,            0.010926,                   0,             0.88783,             0.86607,              0.8623,              0.3687,            0.043001,            0.011319,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.027497,            0.010657,                   0,             0.85937,             0.83929,             0.84668,             0.35177,            0.043606,            0.011354,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.026895,            0.011374,                   0,             0.86834,             0.84821,             0.85032,              0.3583,            0.043294,            0.011362,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.028166,            0.011106,                   0,             0.84078,             0.82143,             0.81885,             0.34805,            0.044099,            0.011352,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.027125,            0.010797,                   0,             0.84944,             0.83036,             0.83227,               0.348,            0.043478,             0.01133,                   0,            0.000397,            0.000397,            0.000397
                  99,             0.02742,            0.010893,                   0,             0.84942,             0.83036,             0.83385,             0.35257,            0.043432,            0.011312,                   0,            0.000298,            0.000298,            0.000298
